//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量,MA:MA1,MA:MA2,MA:MA3,MA:MA4,MACD:MACD,MACD:MACDAvg,MACD:MACDDiff,MACD:零线
2015/08/26,362.5,373.0,360.0,373.0,1920962,1435156,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00
2015/08/27,373.5,382.0,371.5,382.0,1467018,1474290,N/A,N/A,N/A,N/A,0.72,0.14,0.57,0.00
2015/08/30,385.0,394.0,378.5,389.0,2737892,1535956,N/A,N/A,N/A,N/A,1.83,0.48,1.35,0.00
2015/08/31,387.5,395.5,383.5,388.5,2702830,1643254,N/A,N/A,N/A,N/A,2.64,0.91,1.73,0.00
2015/09/01,388.0,393.0,385.5,391.0,1734406,1580584,N/A,N/A,N/A,N/A,3.45,1.42,2.03,0.00
2015/09/06,392.5,393.5,382.0,383.5,1695828,1558044,N/A,N/A,N/A,N/A,3.44,1.82,1.62,0.00
2015/09/07,385.0,389.0,378.5,388.5,2308300,1592742,N/A,N/A,N/A,N/A,3.79,2.22,1.58,0.00
2015/09/08,391.0,402.0,388.5,398.0,4562704,1689914,N/A,N/A,N/A,N/A,4.79,2.73,2.05,0.00
2015/09/09,397.0,414.0,395.5,410.0,4700520,1732076,N/A,N/A,N/A,N/A,6.47,3.48,2.99,0.00
2015/09/10,409.0,417.0,405.5,407.5,3890678,1602472,N/A,N/A,N/A,N/A,7.51,4.28,3.22,0.00
2015/09/13,407.0,411.0,401.0,401.5,2757890,1629400,N/A,N/A,N/A,N/A,7.76,4.98,2.78,0.00
2015/09/14,400.5,404.0,391.5,392.5,2723490,1674400,N/A,N/A,N/A,N/A,7.15,5.41,1.74,0.00
2015/09/15,393.0,399.0,391.0,397.0,3257648,1649114,N/A,N/A,N/A,N/A,6.95,5.72,1.23,0.00
2015/09/16,397.0,399.0,391.5,393.5,3256174,1654816,N/A,N/A,N/A,N/A,6.44,5.87,0.57,0.00
2015/09/17,394.0,396.5,387.0,388.0,2336514,1629956,N/A,N/A,N/A,N/A,5.53,5.80,-0.27,0.00
2015/09/20,387.0,394.0,386.5,390.5,2267996,1648002,N/A,N/A,N/A,N/A,4.94,5.63,-0.68,0.00
2015/09/21,390.5,392.0,380.5,383.5,2660820,1693976,N/A,N/A,N/A,N/A,3.87,5.28,-1.40,0.00
2015/09/22,382.0,383.5,372.5,379.0,3453260,1686350,N/A,N/A,N/A,N/A,2.63,4.75,-2.11,0.00
2015/09/23,378.5,380.5,376.0,378.0,1417776,1696198,N/A,N/A,N/A,N/A,1.55,4.11,-2.56,0.00
2015/09/24,376.5,386.5,374.5,382.0,3184868,1605480,N/A,N/A,N/A,N/A,1.01,3.49,-2.48,0.00
2015/09/27,381.0,381.5,366.5,368.0,2136412,1658648,N/A,N/A,N/A,N/A,-0.55,2.68,-3.23,0.00
2015/09/28,365.0,370.5,361.0,367.0,2314532,1529442,N/A,N/A,N/A,N/A,-1.84,1.78,-3.62,0.00
2015/09/29,368.5,369.0,364.5,366.0,970662,1498778,N/A,N/A,N/A,N/A,-2.92,0.84,-3.75,0.00
2015/10/07,371.0,379.0,368.0,373.5,1404532,1589436,N/A,N/A,N/A,N/A,-3.12,0.04,-3.17,0.00
2015/10/08,373.5,392.0,372.5,391.0,2463276,1700466,N/A,N/A,N/A,N/A,-1.86,-0.34,-1.52,0.00
2015/10/11,391.0,391.5,377.5,380.5,2844158,1657420,N/A,N/A,N/A,N/A,-1.68,-0.60,-1.07,0.00
2015/10/12,379.5,380.0,371.5,376.5,2213054,1704690,N/A,N/A,N/A,N/A,-1.84,-0.85,-0.99,0.00
2015/10/13,376.0,380.5,374.0,375.0,2126390,1748034,N/A,N/A,N/A,N/A,-2.06,-1.09,-0.97,0.00
2015/10/14,375.5,378.5,372.5,374.5,1991328,1738100,N/A,N/A,N/A,N/A,-2.26,-1.33,-0.93,0.00
2015/10/15,373.0,374.0,367.0,367.5,2650632,1667802,374.80,373.95,381.25,384.53,-2.94,-1.65,-1.29,0.00
2015/10/18,368.0,372.5,367.5,370.5,2219216,1668416,372.80,374.20,379.70,384.45,-3.20,-1.96,-1.24,0.00
2015/10/19,369.0,375.5,369.0,371.5,2156630,1700344,371.80,374.65,378.65,384.10,-3.29,-2.23,-1.07,0.00
2015/10/20,371.5,373.5,364.5,365.0,2711396,1795384,369.80,374.55,377.05,383.30,-3.84,-2.55,-1.29,0.00
2015/10/21,364.0,370.5,362.0,367.0,2070958,1738100,368.30,373.90,375.73,382.58,-4.07,-2.85,-1.22,0.00
2015/10/22,367.0,370.0,363.5,370.0,1843098,1704598,368.80,371.80,374.82,381.88,-3.96,-3.08,-0.89,0.00
2015/10/25,371.0,371.5,365.0,365.5,1820196,1664226,367.80,370.30,373.57,381.28,-4.20,-3.30,-0.90,0.00
2015/10/26,365.5,368.5,361.5,366.5,2261900,1645102,366.80,369.30,372.73,380.55,-4.25,-3.49,-0.76,0.00
2015/10/27,366.5,367.5,356.5,358.0,2220834,1683252,365.40,367.60,371.68,379.22,-4.92,-3.78,-1.14,0.00
2015/10/28,358.0,359.5,355.0,358.0,2301244,1794434,363.60,365.95,370.68,377.48,-5.39,-4.10,-1.29,0.00
2015/10/29,359.0,364.5,358.0,362.5,2856246,1771732,362.10,365.45,369.70,375.98,-5.34,-4.35,-0.99,0.00
2015/11/01,362.5,364.5,358.0,359.0,1940910,1751696,360.80,364.30,369.25,374.57,-5.51,-4.58,-0.93,0.00
2015/11/02,358.0,358.5,345.0,349.0,3600156,1737976,357.30,362.05,368.35,373.12,-6.39,-4.94,-1.45,0.00
2015/11/03,348.5,352.0,347.0,351.0,2061224,1756308,355.90,360.65,367.60,371.58,-6.84,-5.32,-1.52,0.00
2015/11/04,351.5,355.0,345.5,345.5,2159900,1638408,353.40,358.50,366.20,369.98,-7.55,-5.77,-1.79,0.00
2015/11/05,344.0,349.0,342.5,347.5,2069494,1423176,350.40,356.25,364.02,368.63,-7.87,-6.19,-1.68,0.00
2015/11/08,347.0,351.5,343.0,348.5,2141534,1446346,348.30,354.55,362.43,367.23,-7.95,-6.54,-1.41,0.00
2015/11/09,349.0,350.5,346.0,348.0,1353044,1429260,348.10,352.70,361.00,366.05,-7.96,-6.82,-1.13,0.00
2015/11/10,348.0,349.0,345.0,345.0,1101646,1373558,346.90,351.40,359.50,364.92,-8.11,-7.08,-1.03,0.00
2015/11/11,345.0,349.0,344.5,347.0,1296068,1298606,347.20,350.30,358.13,363.88,-7.98,-7.26,-0.72,0.00
2015/11/12,347.0,353.5,346.0,350.5,1388348,1249272,347.80,349.10,357.27,362.83,-7.51,-7.31,-0.20,0.00
2015/11/15,349.5,354.5,347.0,348.5,1493632,1147614,347.80,348.05,356.18,362.18,-7.22,-7.29,0.08,0.00
2015/11/16,349.5,349.5,338.0,339.5,2250434,1021324,346.10,347.10,354.57,361.27,-7.62,-7.36,-0.26,0.00
2015/11/17,339.0,340.5,333.0,337.5,1506406,994242,344.60,345.75,353.20,360.32,-8.01,-7.49,-0.52,0.00
2015/11/18,337.0,337.5,326.5,331.0,1968958,934382,341.40,344.30,351.40,358.90,-8.74,-7.74,-1.00,0.00
2015/11/19,330.0,336.5,329.0,333.5,1543760,889742,338.00,342.90,349.57,356.98,-9.02,-7.99,-1.02,0.00
2015/11/22,334.0,338.0,333.0,335.0,1103732,809896,335.30,341.55,348.05,355.47,-9.01,-8.20,-0.81,0.00
2015/11/23,300.5,304.0,296.5,301.0,2282848,1118260,327.60,336.85,344.77,352.95,-11.61,-8.88,-2.73,0.00
2015/11/24,300.0,308.0,299.0,306.0,1914788,1128444,321.30,332.95,342.18,350.65,-13.12,-9.73,-3.39,0.00
