//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量,MA:MA1,MA:MA2,MA:MA3,MA:MA4,MACD:MACD,MACD:MACDAvg,MACD:MACDDiff,MACD:零线
2015/08/26,1935,1985,1931,1969,4210674,2189386,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00
2015/08/27,1970,2004,1965,1976,6597234,2393856,N/A,N/A,N/A,N/A,0.56,0.11,0.45,0.00
2015/08/30,1972,1977,1945,1952,5809012,2446838,N/A,N/A,N/A,N/A,-0.92,-0.10,-0.83,0.00
2015/08/31,1955,1970,1946,1963,4473344,2414568,N/A,N/A,N/A,N/A,-1.20,-0.32,-0.88,0.00
2015/09/01,1960,1967,1949,1955,2561494,2272834,N/A,N/A,N/A,N/A,-2.04,-0.66,-1.38,0.00
2015/09/06,1954,1955,1839,1920,4094518,2508030,N/A,N/A,N/A,N/A,-5.46,-1.62,-3.84,0.00
2015/09/07,1920,1949,1916,1949,3649914,2441818,N/A,N/A,N/A,N/A,-5.77,-2.45,-3.32,0.00
2015/09/08,1952,1979,1946,1948,7883726,2424526,N/A,N/A,N/A,N/A,-6.03,-3.17,-2.86,0.00
2015/09/09,1950,1967,1939,1956,4779406,2446874,N/A,N/A,N/A,N/A,-5.52,-3.64,-1.88,0.00
2015/09/10,1957,1969,1946,1946,5041194,2479580,N/A,N/A,N/A,N/A,-5.86,-4.08,-1.78,0.00
2015/09/13,1944,1948,1926,1929,4065166,2553366,N/A,N/A,N/A,N/A,-7.42,-4.75,-2.67,0.00
2015/09/14,1925,1934,1907,1909,3253090,2649676,N/A,N/A,N/A,N/A,-10.14,-5.83,-4.32,0.00
2015/09/15,1910,1941,1910,1934,3964030,2524750,N/A,N/A,N/A,N/A,-10.17,-6.70,-3.47,0.00
2015/09/16,1933,1950,1925,1926,4414424,2593742,N/A,N/A,N/A,N/A,-10.72,-7.50,-3.22,0.00
2015/09/17,1928,1935,1918,1922,3226308,2610072,N/A,N/A,N/A,N/A,-11.34,-8.27,-3.07,0.00
2015/09/20,1920,1925,1894,1904,3814342,2763274,N/A,N/A,N/A,N/A,-13.13,-9.24,-3.89,0.00
2015/09/21,1908,1913,1884,1891,3174160,2883358,N/A,N/A,N/A,N/A,-15.43,-10.48,-4.95,0.00
2015/09/22,1887,1905,1877,1902,3580716,2712170,N/A,N/A,N/A,N/A,-16.17,-11.62,-4.55,0.00
2015/09/23,1905,1906,1888,1893,1747832,2710262,N/A,N/A,N/A,N/A,-17.29,-12.75,-4.54,0.00
2015/09/24,1892,1910,1885,1891,2794220,2649152,N/A,N/A,N/A,N/A,-18.13,-13.83,-4.30,0.00
2015/09/27,1885,1885,1855,1859,2271328,2808478,N/A,N/A,N/A,N/A,-21.13,-15.29,-5.84,0.00
2015/09/28,1852,1858,1828,1833,3299438,2583858,N/A,N/A,N/A,N/A,-25.31,-17.29,-8.02,0.00
2015/09/29,1837,1838,1815,1821,2494804,2628152,N/A,N/A,N/A,N/A,-29.26,-19.69,-9.58,0.00
2015/10/07,1837,1851,1818,1826,2553402,2595548,N/A,N/A,N/A,N/A,-31.62,-22.07,-9.55,0.00
2015/10/08,1826,1864,1821,1852,3479500,2483282,N/A,N/A,N/A,N/A,-31.04,-23.87,-7.17,0.00
2015/10/11,1857,1868,1836,1847,3981900,2466748,N/A,N/A,N/A,N/A,-30.62,-25.22,-5.41,0.00
2015/10/12,1848,1852,1820,1838,3089416,2546572,N/A,N/A,N/A,N/A,-30.67,-26.31,-4.36,0.00
2015/10/13,1836,1843,1826,1830,2522922,2599590,N/A,N/A,N/A,N/A,-30.99,-27.24,-3.75,0.00
2015/10/14,1831,1844,1826,1834,2109524,2581472,N/A,N/A,N/A,N/A,-30.57,-27.91,-2.66,0.00
2015/10/15,1834,1836,1820,1830,2483140,2574222,1835.80,1837.00,1873.55,1900.17,-30.22,-28.37,-1.85,0.00
2015/10/18,1829,1841,1800,1807,3243418,2804968,1827.80,1831.80,1867.45,1894.77,-31.43,-28.98,-2.45,0.00
2015/10/19,1806,1815,1795,1801,2261400,2754348,1820.40,1828.60,1862.05,1888.93,-32.50,-29.69,-2.81,0.00
2015/10/20,1800,1811,1788,1804,4048260,2614494,1815.20,1826.90,1855.55,1884.00,-32.73,-30.29,-2.43,0.00
2015/10/21,1804,1818,1801,1805,2373494,2446990,1809.40,1824.80,1849.50,1878.73,-32.45,-30.73,-1.73,0.00
2015/10/22,1805,1809,1781,1801,2247608,2260140,1803.60,1819.70,1843.45,1873.60,-32.19,-31.02,-1.17,0.00
2015/10/25,1803,1808,1793,1801,2065598,2142800,1802.40,1815.10,1838.30,1869.63,-31.61,-31.14,-0.47,0.00
2015/10/26,1800,1818,1798,1804,2068660,2087966,1803.00,1811.70,1833.95,1864.80,-30.56,-31.02,0.46,0.00
2015/10/27,1802,1804,1784,1792,1783290,1995340,1800.60,1807.90,1828.45,1859.60,-30.35,-30.89,0.54,0.00
2015/10/28,1790,1801,1783,1795,1251140,1948786,1798.60,1804.00,1823.55,1854.23,-29.59,-30.63,1.03,0.00
2015/10/29,1796,1797,1779,1782,1280842,2004004,1794.80,1799.20,1818.10,1848.77,-29.70,-30.44,0.74,0.00
2015/11/01,1782,1796,1779,1787,998326,1838240,1792.00,1797.20,1814.50,1844.03,-29.05,-30.17,1.11,0.00
2015/11/02,1785,1789,1773,1779,1032118,1773746,1787.00,1795.00,1811.80,1839.70,-28.85,-29.90,1.05,0.00
2015/11/03,1779,1783,1774,1779,663022,1684516,1784.40,1792.50,1809.70,1834.53,-28.36,-29.59,1.23,0.00
2015/11/04,1781,1788,1768,1776,1524966,2041548,1780.60,1789.60,1807.20,1829.53,-27.90,-29.26,1.36,0.00
2015/11/05,1777,1808,1775,1794,2568118,2158254,1783.00,1788.90,1804.30,1825.27,-25.78,-28.56,2.78,0.00
